1,Calendar picker doesn't work on web
2,3.0 - Items Previously Discovered and Unmanaged are rediscovered and put in Newly Disc.
3,3.0 - Error Adding impacted resources to RFCs
4,Alert is no longer updating RISK correctly
5,Change Type on Web not sorting in 2nd and 3rd Dropdown
6,Client takes 2 min to start up on first startup after reboot
7,Comments are Disappearing
8,Domain name incorrect on windows2000 scans
9,Error Approving RFC
10,Error scanning Dell Print Servers
11,Export View Contents doesn't seem to work from CMDB tab
12,how do you sort by Master number
13,HP Laserjet printers not being classified correctly
14,Line Feeds are not working in substitution variables in notification rules
15,Object reference error when first launching web client - refresh makes it go away
16,Unable to install client on Vista
18,Need to have Clients auto update new strings.txt changes
19,Domain Migration has no users able to login to ChangeGear
20,Issues with Approver group behavior
21,Users seem to be able to vote regardless of Approver status
22,CG Does not show a CREATE separately from SUBMIT when SUBMIT is the initial action
23,Object Reference Error on ACCEPT action
24,RDE DL not showing up on MySunView
25,ChangeGear error report from R-G Premier Bank of Puerto Rico
26,"ChangeGear error report from Rackable Systems, Inc."
29,ChangeGear SDK questions
30,Problems with Web Add Impacted Resources Response Time
33,License Check (Realogy)
34,Need MySunView Login Credentials
35,Les: please advise: accessing change gear outside of epost office via internet
36,ChangeGear error report from Purdue University
37,Unexplained Change in Summary/Title
38,PlannedStartDateTime Variable seems to break everything after it in announcement
39,Issues with ChangeGear Business Policy Automation
44,Customer needs to change Custom woarkflow after talking to managers
46,Change Type is all showing up under first dropdown on web
49,License Check (Edward Life Science)
50,Workflow Questions
51,Need to know how to Confirm that Notification rulese are sending
52,ChangeGear error report from Blue Cross Blue Shield of Deleware
57,License Check (Graphic Packaging)
58,License Check (Bashas)
59,License Check (Skipjack)
65,Can Requesters be enabled to see implementation tab on web
66,Notification Groups
67,License Check (DOD Education)
68,Need to be able to import new change types
69,Need to take away the Submit for Approval action from Requesters Role
71,Cannot change Type for existing/new Tracked Assets
73,License Check (Honda)
74,License Check (Atlas Pipeline)
75,Web doesn't seem to work unless user is auto-registered
76,Need to be able to see ALL TICKETS from web (including Closed)
77,RDE Problems
78,Object Reference Error on Web
79,Upgrade seems to have overwritten workflow and custom dataset
80,Approvers cannot Request More Info from Pending Approval state
81,Can Day of week be included in date from substitution variable in email
82,HP Printer information not being retrieved by RDE
83,Object Reference error on left panel on web
84,Wants to create alert to automatically close tickets
85,Need to be able to sort by second level Location on Announcement portal
86,Questions About need More Info state
88,FW: Sunview ChangeGear Trial License
94,License Check (Cirrus Design)
95,"Physical memory, Virtual memory, and BIOS not populating on Summary tab"
96,Scan History not updating when RDE is run. It seems to update on some but not others. Did not identify any pattern yet. 
97,Discovery not working properly with scheduled RDE scans
98,Need to know what issues were resolved in MR2
99,How do we change the password for the ChangeGear service?
100,Deleted Alert seems to be still firing
102,CG service was moved and then stopped working
104,Need Web User to See All Open Tickets instead of just MY...
107,SNMP error on scan
109,License Check (Stratosphere)
110,RE: License Check (Realogy)
111,License Check (Synthes)
113,CG install hung and now cannot uninstall or install
116,Cannot change Newly discovered to Tracked Assets - getting message that exceeding license count
117,Internationalization error
119,Upgraded to version 3.0.2021 and have a problem
120,Where are custom alerts stored
143,System privileges
144,License Check (Wausau)
147,Installing ChangeGear Web 3.0
148,Alert sent on RFCs that should not have been included in Alert
150,Question on how to email report to Approvers for CAB meeting
152,Clicking Home on the main CG web page brings the user to the default End User page
154,User Editor does Not Seem to Populate Correctly from AD
155,Setting up testing for 3.5
160,Service is not starting with new trial license file.
161,ChangeGear error report from PSCU Financial Services
163,Email doesn't get sent in certain circumstance and RFC is not being processed
164,ChangeGear error report from City of Phoenix
165, Want to Delete existing Resource Types
166,ChangeGear error report
170,Errors in RDE scan logs - need to be addressed for Security group
171,Called requesting help with editing strings.txt
172,Error when trying to attach a document
173,Does CG Service User Need to be a domain admin
177,Error on History Tab
180,Dynamic Roles tab is empty in BPA Assign/Reassign action
181,User not seeing correct actions for modified workflow
182,How do you turn on Notification for Requester Validation
183,Syntax error when selecting Assignee's Manager or Requester's Manager in BPA Action
184,Error when trying to use Requester's Manager or Assignee's Manager
185,License Check (Heartland)
187,Receiving error when attaching document on staging server
188,FW: Your ChangeGear order has been processed
189,User having error with assigned to auto switching
190, Field Content Length Error Loop on CGWeb
191,ChangeGear Questions
193,Change Management Enterprise - Printing
194,Subsitution Variables Having Issues - Don't Seem to be replacing
195,please advise: how to handle new user ids whose email addresses are not in epost domain?
196,Web Server stopped responding and required IIS reset to work
197,ChangeGear Error - Not enough space on disk
200,Incorrect user listed in RFC History comment
201,License Check (Womble)
202,ChangeGear Error Loop
203,ChangeGear will not install with new service account - Test Environment
204,ChangeGear Upgrade License
205,Issue with ChangeGear and Lotus Notes
206,ChangeGear error report
207,System Requirement for Installing Change Gear Enterprise Suite
210,License Check (City of Glendale)
212,RE: ChangeGear update available
214,RE: please advise: how to handle new user ids whose email addresses are not in epost domain?
215,Administrative questions
216,License Check (Blue Cross Delaware)
217,Can CG prevent a new RFC from being created by a user with an open task
219,This is a test Incident 2
221,Questions about PCI
222,"Physical Memory, Virtual Memory and Bios fields blank for some CIs after detail scan "
223,Change Gear error report from Ameren
224,ChangeGear error report from Challenger Motor Freight
225,Can the Change Manager review and approve documentation in an RFC before it is implemented
226,BCBS wants further workflow customization to make some actions unavailable at certain states
227,Questions about concurrent and named seat users
228,manual uninstall of Changegear and Changegear Web
229,Support Request - High
232,Cannot export from CMDB grid
233,Cannot log in to test server - Impersonation Problem
234,please advise: removal of users from change gear no longer required
235,Questions about Web Quick Search
236,ChangeGear error report from Preview Evaluator
237,Approve action missing from tickets in Pending Approval state
238,ChangeGear questions
239,License Check (Isotrak)
240,3.0 - Adding customizations seem to slow down web
241,please provide info on how change gear works for documentation purpose
242,3.0 Upgrade Issues
243,Question on RDE scanning
245,Need customer ID
246,ChangeGear error report from Blue Cross Blue Shield of Delaware
249,Upgrade to 2037 Failed
251,License Check (Capita Offshore)
252,Questions about approver groups
255,FW: Announcing ChangeGear 3.5
256,Questions about 3.5 release
258,Request Validation action doesn't seem to work on web
259,Permissions question
260,Installing ChangeGear Web - Web doesn't come up
261,License Check (Stratosphere)
262,FW: Unable to log into kgschangecentral.kronos.com
263,RE: please advise: need for having test change gear server and/or database 
264,New version of ChangeGear
265,License Check (Ohio Dept of Youth)
266,License Check (Atlas)
267,License Check (Capita)
268,License Check (Cirrus)
269,Cannot see custom resource tab - SVRDETAILS
270,License Check (City of Glendale)
271,RE: License Check (Capita)
272,License Check (Nextwave)
273,License Check (Pennsylvania Attorney Gen)
274,License Check (Palm Beach)
277,Users cannot login to ChangeGear
278,"Planned Start, Planned Complete, Duration of Outage, and Possible Side Effects are not saving on web"
279, Need to Download ChangeGear Communicator
280,User in IT Staff can't see Implementation tab on web
282,License Checks (19 Total)
283,RE: Security in ChangeGear
284,Web Customizations
285,Privilege for REOPEN is missing
286,Follow-up on 3.5 lic and question about moving CG Service
287,Users can reject even if they are not on approver list
288,Is it possible to group by category on web grid
289,MySunview Access.
290,Michael's web was not working
292,ChangeGear error report
293,License Check (Wausau)
294,License Check (Sutter)
295,License Check (Electronic Payment)
296,"ChangeGear error report from Friedman, Billings, Ramsey"
298,Change Gear Service will not start
299,RDE Issues
300,"All approvers receiving emails, even when it is not their turn"
301,License Check (Honda)
302,License Check (Aspreva)
304,All Open Tickets View seems to have broken for single user.
305,ChangeGear 3.5 Downloads
306,3.0 - 3.5 upgrade questions
307,Can't get CT to install - NEXT button at credential screen doesn't seem to do anything
308,Upgrade from 2.0 to 3.5 failing to install new service
310,ChangeGear error report
311,"Risks, Consequenses, and Impact section of BPA criteria chooser missing"
315,License Check (Uponor) Urgent
316,License Check (Equity)
317,License Check (FBR)
318,Release Manager Role Throws Index Out of Bounds Error
319,ChangeGear error report from Ohio Department of Youth Services
320,Emails not sending from ChangeGear
322,Working with Les RDE
323,Cannot Reject even though user is on approver list
324,Error Closing RFC - Object Belongs to a Different Session
325,ChangeGear is showing that it is using a trial lic instead of production lic after upgrade to CG 3.0
326,ChangeGear 3.5 Linked Items Search returns error
327,Number Format Error in ChangeGear
329,ChangeGear 3.5 Change Type Web Display
330,"ChangeGear error report from Sercel, Inc."
331,email connector config help
332,Security.SSPI Error After Upgrade
333,Error opening ChangeGear Desktop Client
334,License Check (BCBS Delaware) Urgent
335,Feature Enhancement Request - Incident/Problem Management
337,"ChangeGear error report from Friedman, Billings, Ramsey"
338,Error after installing 3.5 Lic
339,Problems with Customizing Views and Reports
340,Release Management Workflow Throwing Error when Editing Request Validation action
342,Want to link from within ChangeGear to go to a web page
344,License Check (Laidlaw)
346,Object Reference Error when running 3.5 installer to upgrade
347,Question on ChangeGear 3.0 SP1
348,Error installing Release management
349,Can not open desktop client
350,Customer 20620
353,Access to Login to MySunview
354,Sizing information needed for ChangeGEar server
355,Getting Object Reference errors on web
359,ChangeGear error report from Dealogic
360,License Check (Alberta)
361,License Check (BancFirst)
363,"ChangeGear error report from Friedman, Billings, Ramsey"
364,Test Incident
365,please advise: why complete auto email didn't go out from change gear on Nov14/2007? see details below
366,Administrator rights
367,ChangeGear error report from U.S. Marshals Service - USER_CANNOT_APPROVE
369,Status of RFC shows different in DT Client and CG Web
371,ChangeGear error report
372,ChangeGear New User Error
373,Cannot edit approver groups
374,Can Fields in Batch Email Notification attachments be changed?
376,Web Users having Difficulty with Attachments
377,Web issues with Norway locale
378,What is the new release of ChangeGear
379,CGService won't restat after Service User Changed
380,Question about approve privilege in ChangeGear
384,Email links to tasks getting Object Reference Errors
385,Change Management - Problem Management
386,Departments are not importing when new users are created
387,Trouble setting up email template
388,ChangeGear error report from ChangeGear Evaluator
389,Error on CG Web
390,ChangeGear error report from Cirrus Design Corporation
391,RDE Questions
392,License Check (American Railcar
393,License Check (Aspreva)
394,Need to change SQL port from 1433 to custom port
395,Implemtation/Upgrade ChangeGear 3.5 Issues
396,Object Reference Error with New Workflow When Creating Implementation Tasks
397,ChangeGear error report from Ohio Department of Youth Services
398,ChangeGear 3.5 request
399,License Check (Sutter)
400,latest version is 3.0 sp1?
401,Feature Request - Sub-locations on Dropdown in Announcement Portal Calendar
402,Problem with CGWeb over Citrix
403,Setting Outlook Follow-up flag in Email Notification
404,Assistance with Business Policy Automation
405,ChangeGear error report from Tolko Industries Ltd.
407,ChangeGear SDK
408,Customization questions
409,problem logging in to changegear 2.0
410,Sutter Connect - ChangeGear Change Management inquiry
411,Login Failure
412,New RFC Template
417,Index Outside the Bounds of the Array when following link to CG
418,CMDB question
419,Errors in BCBS Delaware Workflow
421,Approver Group Issue
422,Need download instructions for CG 3.5
423,Approver group questions
424,Problems with Change Gear 3.5 Web
425,duplicate email sent when auto announcing rfc
426,License Check (Vineyard)
427,User cannot promote from Track it 7 or create new rfc in CG 2.0
428,License Check (Wellco)
429,License Check (DDESS)
430,License Check (Battelle)
431,License Check (RDM)
432,License Check (CATSA)
433,License Check (BankServ)
437,Cannot login through Web. DT Login is successful.
438,ChangeGear Mobile
439,ChangeGear error report from Pennsylvania Office of Attorney General
440,Business Policy Automation firing inconsistently
441,A Few General Questions
442,ChangeGear Questions
443,Upgrading 3.0 to 3.5 and Changing Domains
444,License Check (Knology)
445,Questions from MDA
446,More question on 3.0 > 3.5 upgrade and New Domain
447,Error during ChangeGear v3.5 upgrade
448,More 3.0 > 3.5 Upgrade Questions
449,HTTPS Requests in ChangeGear
450,Cannot Reject Even Though on Approver List
451,customer 20620
452,General questions
453,Help moving CGWeb from Default Web Site to Custom
454,ChangeGear 3.0 > 3.5 upgrade questions
455,Scanning issues
457,License Check (BC Lottery)
458,License Check (State of Arizona)
459,Customizing Self Service Portal
461,Web Not working properly
462,Update to 3.5 - troubles
465,ChangeGear error report
466,Business Policy Automation
468,ChangeGear error report from Cirrus Design Corporation
474,3.5 questions
475,My Sunview Account and Upgrade.
476,CGWeb shows "Service Unavailable" on Test System
477,3.5 Upgrade Issue
480,Need to see who is using concurrent seats
481,FW: License Check (Realogy)
482,License Check (Dealogic)
483,License Check (Speedco)
484,License Check (RDM Corp
485,License Check (EBSCO)
487,.net errors with ChangeGear
488,ChangeGear Upgrade
489,CG Service won't start after upgrade to 3.5
490,Custom Resource Types in ChangeGear 3.5
491,Apprvr nt able to approve
493,Current BCBSDE Status
496,Approval reports
497,License Check (Tolko)
498,License Check (RDMCorp)
499,Can't add to 'Save as Draft' tickets
500,License Check (SNC-Lavalin)
501,RDE Not working as scheduled task
503,ChangeGear 3.5 Upgrade Questions
504,Resource Reporting
