1,IR-0001001,Calendar picker doesn't work on web
2,IR-0005001,3.0 - Items Previously Discovered and Unmanaged are rediscovered and put in Newly Disc.
3,IR-0005002,3.0 - Error Adding impacted resources to RFCs
4,IR-0005003,Alert is no longer updating RISK correctly
5,IR-0005004,Change Type on Web not sorting in 2nd and 3rd Dropdown
6,IR-0005005,Client takes 2 min to start up on first startup after reboot
7,IR-0005006,Comments are Disappearing
8,IR-0005007,Domain name incorrect on windows2000 scans
9,IR-0005008,Error Approving RFC
10,IR-0005009,Error scanning Dell Print Servers
11,IR-0005010,Export View Contents doesn't seem to work from CMDB tab
12,IR-0005011,how do you sort by Master number
13,IR-0005012,HP Laserjet printers not being classified correctly
14,IR-0005013,Line Feeds are not working in substitution variables in notification rules
15,IR-0005014,Object reference error when first launching web client - refresh makes it go away
16,IR-0005015,Unable to install client on Vista
18,IR-0005017,Need to have Clients auto update new strings.txt changes
19,IR-0005018,Domain Migration has no users able to login to ChangeGear
20,IR-0005019,Issues with Approver group behavior
21,IR-0005020,Users seem to be able to vote regardless of Approver status
22,IR-0005021,CG Does not show a CREATE separately from SUBMIT when SUBMIT is the initial action
23,IR-0005022,Object Reference Error on ACCEPT action
24,IR-0005023,RDE DL not showing up on MySunView
25,IR-0005024,ChangeGear error report from R-G Premier Bank of Puerto Rico
26,IR-0005025,ChangeGear error report from Rackable Systems Inc.
29,IR-0005028,ChangeGear SDK questions
30,IR-0005029,Problems with Web Add Impacted Resources Response Time
33,IR-0005032,License Check (Realogy)
34,IR-0005033,Need MySunView Login Credentials
35,IR-0005034,Les: please advise: accessing change gear outside of epost office via internet
36,IR-0005035,ChangeGear error report from Purdue University
37,IR-0005036,Unexplained Change in Summary/Title
38,IR-0005037,PlannedStartDateTime Variable seems to break everything after it in announcement
39,IR-0005038,Issues with ChangeGear Business Policy Automation
44,IR-0005043,Customer needs to change Custom woarkflow after talking to managers
46,IR-0005045,Change Type is all showing up under first dropdown on web
49,IR-0005048,License Check (Edward Life Science)
50,IR-0005049,Workflow Questions
51,IR-0005050,Need to know how to Confirm that Notification rulese are sending
52,IR-0005051,ChangeGear error report from Blue Cross Blue Shield of Deleware
57,IR-0005056,License Check (Graphic Packaging)
58,IR-0005057,License Check (Bashas)
59,IR-0005058,License Check (Skipjack)
65,IR-0005064,Can Requesters be enabled to see implementation tab on web
66,IR-0005065,Notification Groups
67,IR-0005066,License Check (DOD Education)
68,IR-0005067,Need to be able to import new change types
69,IR-0005068,Need to take away the Submit for Approval action from Requesters Role
71,IR-0005070,Cannot change Type for existing/new Tracked Assets
73,IR-0005072,License Check (Honda)
74,IR-0005073,License Check (Atlas Pipeline)
75,IR-0005074,Web doesn't seem to work unless user is auto-registered
76,IR-0005075,Need to be able to see ALL TICKETS from web (including Closed)
77,IR-0005076,RDE Problems
78,IR-0005077,Object Reference Error on Web
79,IR-0005078,Upgrade seems to have overwritten workflow and custom dataset
80,IR-0005079,Approvers cannot Request More Info from Pending Approval state
81,IR-0005080,Can Day of week be included in date from substitution variable in email
82,IR-0005081,HP Printer information not being retrieved by RDE
83,IR-0005082,Object Reference error on left panel on web
84,IR-0005083,Wants to create alert to automatically close tickets
85,IR-0005084,Need to be able to sort by second level Location on Announcement portal
86,IR-0005085,Questions About need More Info state
88,IR-0005087,FW: Sunview ChangeGear Trial License
94,IR-0005093,License Check (Cirrus Design)
95,IR-0005094,Physical memory Virtual memory and BIOS not populating on Summary tab
96,IR-0005095,Scan History not updating when RDE is run. It seems to update on some but not others. Did not identify any pattern yet. 
97,IR-0005096,Discovery not working properly with scheduled RDE scans
98,IR-0005097,Need to know what issues were resolved in MR2
99,IR-0005098,How do we change the password for the ChangeGear service?
100,IR-0005099,Deleted Alert seems to be still firing
102,IR-0005101,CG service was moved and then stopped working
104,IR-0005103,Need Web User to See All Open Tickets instead of just MY...
107,IR-0005106,SNMP error on scan
109,IR-0005108,License Check (Stratosphere)
110,IR-0005109,RE: License Check (Realogy)
111,IR-0005110,License Check (Synthes)
113,IR-0005112,CG install hung and now cannot uninstall or install
116,IR-0005115,Cannot change Newly discovered to Tracked Assets - getting message that exceeding license count
117,IR-0005116,Internationalization error
119,IR-0005118,Upgraded to version 3.0.2021 and have a problem
120,IR-0005119,Where are custom alerts stored
143,IR-0005142,System privileges
144,IR-0005143,License Check (Wausau)
147,IR-0005146,Installing ChangeGear Web 3.0
148,IR-0005147,Alert sent on RFCs that should not have been included in Alert
150,IR-0005149,Question on how to email report to Approvers for CAB meeting
152,IR-0005151,Clicking Home on the main CG web page brings the user to the default End User page
154,IR-0005153,User Editor does Not Seem to Populate Correctly from AD
155,IR-0005154,Setting up testing for 3.5
160,IR-0005159,Service is not starting with new trial license file.
161,IR-0005160,ChangeGear error report from PSCU Financial Services
163,IR-0005162,Email doesn't get sent in certain circumstance and RFC is not being processed
164,IR-0005163,ChangeGear error report from City of Phoenix
165,IR-0005164, Want to Delete existing Resource Types
166,IR-0005165,ChangeGear error report
170,IR-0005169,Errors in RDE scan logs - need to be addressed for Security group
171,IR-0005170,Called requesting help with editing strings.txt
172,IR-0005171,Error when trying to attach a document
173,IR-0005172,Does CG Service User Need to be a domain admin
177,IR-0005176,Error on History Tab
180,IR-0005179,Dynamic Roles tab is empty in BPA Assign/Reassign action
181,IR-0005180,User not seeing correct actions for modified workflow
182,IR-0005181,How do you turn on Notification for Requester Validation
183,IR-0005182,Syntax error when selecting Assignee's Manager or Requester's Manager in BPA Action
184,IR-0005183,Error when trying to use Requester's Manager or Assignee's Manager
185,IR-0005184,License Check (Heartland)
187,IR-0005186,Receiving error when attaching document on staging server
188,IR-0005187,FW: Your ChangeGear order has been processed
189,IR-0005188,User having error with assigned to auto switching
190,IR-0005189, Field Content Length Error Loop on CGWeb
191,IR-0005190,ChangeGear Questions
193,IR-0005192,Change Management Enterprise - Printing
194,IR-0005193,Subsitution Variables Having Issues - Don't Seem to be replacing
195,IR-0005194,please advise: how to handle new user ids whose email addresses are not in epost domain?
196,IR-0005195,Web Server stopped responding and required IIS reset to work
197,IR-0005196,ChangeGear Error - Not enough space on disk
200,IR-0005199,Incorrect user listed in RFC History comment
201,IR-0005200,License Check (Womble)
202,IR-0005201,ChangeGear Error Loop
203,IR-0005202,ChangeGear will not install with new service account - Test Environment
